mssv,ma_mon,diem_so,hoc_ky,nam_hoc
23520805,IE005,9.7,1,2023-2024
23520805,IT001,6.1,1,2023-2024
23520805,MA003,7.4,1,2023-2024
23520805,MA006,3.2,1,2023-2024
23520805,SS006,6.7,1,2023-2024
23520805,IT002,6,2,2023-2024
23520805,IT003,6,2,2023-2024
23520805,MA004,9.1,2,2023-2024
23520805,SS004,9.6,2,2023-2024
23520805,SS010,8.8,2,2023-2024
23520805,IT004,6.9,1,2024-2025
23520805,IT005,7.3,1,2024-2025
23520805,IT012,6.8,1,2024-2025
23520805,MA005,8.1,1,2024-2025
23520805,SS003,8.8,1,2024-2025
23520805,IE101,6.1,2,2024-2025
23520805,IE103,8.5,2,2024-2025
23520805,IT007,9,2,2024-2025
23520805,MA006,7.8,2,2024-2025
23520805,SS007,7.8,2,2024-2025
23520805,SS009,9.3,2,2024-2025
23520805,IE104,9.3,1,2025-2026
23520805,IE105,9,1,2025-2026
23520805,IE106,7.5,1,2025-2026
23520805,IE231,9,1,2025-2026
23520805,SS008,9,1,2025-2026
